Município,Ano,Produto Interno Bruto a preços correntes (Mil Reais),"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)",Valor adicionado bruto a preços correntes total (Mil Reais),Valor adicionado bruto a preços correntes da agropecuária (Mil Reais),Valor adicionado bruto a preços correntes da indústria (Mil Reais),"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
São Lourenço da Mata (PE),2021,1444200,149045,1295155,48159,229189,523610,494196
São Vicente Férrer (PE),2021,209528,13252,196276,45370,7005,53267,90634
Serra Talhada (PE),2021,1693347,257213,1436134,49590,143768,813011,429764
Serrita (PE),2021,161153,5411,155741,22085,3967,34130,95559
Sertânia (PE),2021,367389,37982,329406,16355,18932,121836,172283
Sirinhaém (PE),2021,722495,46429,676066,150069,127952,172543,225502
Moreilândia (PE),2021,90987,3404,87584,11665,2124,21194,52600
Solidão (PE),2021,56661,1600,55060,6880,1310,11354,35516
Surubim (PE),2021,915558,97630,817928,16176,83789,423487,294477
Tabira (PE),2021,314903,23248,291655,19652,17679,111094,143230
Tacaimbó (PE),2021,149159,8884,140275,17430,20107,37101,65638
Tacaratu (PE),2021,251978,12218,239761,12097,49130,50435,128098
Tamandaré (PE),2021,395834,31157,364677,12990,24087,189201,138400
Taquaritinga do Norte (PE),2021,334642,26699,307943,8806,55430,107340,136367
Terezinha (PE),2021,75618,2362,73256,12959,3128,14736,42434
Terra Nova (PE),2021,95262,6617,88645,4504,11139,21391,51610
Timbaúba (PE),2021,746607,69988,676619,42180,75802,317843,240795
Toritama (PE),2021,764572,104600,659972,444,109199,319330,230999
Tracunhaém (PE),2021,176619,18573,158046,30130,5120,54391,68406
Trindade (PE),2021,419024,47647,371378,7965,64687,164920,133807
Triunfo (PE),2021,157358,11198,146160,8839,5662,59192,72467
Tupanatinga (PE),2021,227130,12122,215008,20834,5667,53504,135003
Tuparetama (PE),2021,89139,5695,83444,8237,5723,28293,41191
Venturosa (PE),2021,247349,12586,234763,34410,45074,67676,87603
Verdejante (PE),2021,80931,3136,77795,5202,3221,19474,49898
Vertente do Lério (PE),2021,74060,2866,71194,3059,7975,17837,42324
Vertentes (PE),2021,194511,12704,181807,4660,13584,61490,102073
Vicência (PE),2021,519426,19408,500018,188123,42521,104486,164889
Vitória de Santo Antão (PE),2021,4551843,872823,3679021,124020,1100865,1816037,638099
Xexéu (PE),2021,141411,8249,133162,13442,2932,39554,77235
Água Branca (AL),2021,202655,6415,196240,34103,6900,46764,108473
Anadia (AL),2021,250457,8543,241915,87012,14073,47804,93025
Arapiraca (AL),2021,5915938,661844,5254094,1159463,466659,2675378,952594
Atalaia (AL),2021,1500344,47868,1452477,888067,92736,219962,251712
Barra de Santo Antônio (AL),2021,262005,6345,255660,107404,13175,46801,88279
Barra de São Miguel (AL),2021,238431,14747,223684,42233,28738,102820,49893
Batalha (AL),2021,229933,13022,216911,33769,11765,68504,102872
Belém (AL),2021,191318,1098,190220,137599,4535,17458,30629
Belo Monte (AL),2021,151387,2724,148663,76750,16365,15589,39957
Boca da Mata (AL),2021,506028,21145,484883,217958,41939,94280,130706
Branquinha (AL),2021,775410,2194,773216,658731,10645,48277,55563
Cacimbinhas (AL),2021,140461,4069,136392,45894,4869,28584,57045
Cajueiro (AL),2021,207869,5706,202163,38159,5459,47588,110957
Campestre (AL),2021,87759,1720,86038,29740,1842,16164,38293
Campo Alegre (AL),2021,734648,52647,682001,150206,100779,149033,281982
Campo Grande (AL),2021,106114,3241,102873,21789,5158,20722,55205
Canapi (AL),2021,166475,5846,160630,21850,3587,39063,96130
Capela (AL),2021,247981,6897,241084,72304,6885,61266,100629
Carneiros (AL),2021,90775,2288,88487,10667,2510,19380,55930
Chã Preta (AL),2021,175471,2123,173347,112886,2946,18267,39249
Coité do Nóia (AL),2021,211484,3776,207708,110949,4126,32965,59668
Colônia Leopoldina (AL),2021,397369,10928,386441,201316,18521,58203,108401
Coqueiro Seco (AL),2021,96036,1291,94745,40852,2056,14379,37457
Coruripe (AL),2021,1782442,167669,1614774,618477,362659,344007,289630
Craíbas (AL),2021,480702,21566,459136,82714,150270,105544,120608
Delmiro Gouveia (AL),2021,673800,43426,630374,42173,42217,281368,264616
Dois Riachos (AL),2021,105248,3061,102187,24288,2435,20119,55345
Estrela de Alagoas (AL),2021,154329,3809,150519,34144,4049,30542,81784
Feira Grande (AL),2021,427545,6012,421533,240016,12882,52674,115961
Feliz Deserto (AL),2021,164023,4537,159487,87470,25766,22115,24136
Flexeiras (AL),2021,297765,4011,293754,189383,6968,35303,62101
Girau do Ponciano (AL),2021,549523,17137,532386,220126,13471,105235,193554
Ibateguara (AL),2021,196463,3793,192670,84563,4256,33905,69946
Igaci (AL),2021,311914,5796,306118,115103,7111,57709,126194
Igreja Nova (AL),2021,571817,37100,534717,246715,83432,74749,129821
Inhapi (AL),2021,174741,5977,168764,37133,4020,39745,87867
Jacaré dos Homens (AL),2021,74940,1395,73545,23138,2004,12775,35629
Jacuípe (AL),2021,194514,1502,193012,135931,3282,17602,36197
Japaratinga (AL),2021,251980,11007,240973,102272,6501,86636,45565
Jaramataia (AL),2021,77882,1239,76643,31108,1985,11590,31959
Jequiá da Praia (AL),2021,381989,8742,373247,246720,19767,36493,70266
Joaquim Gomes (AL),2021,520955,4883,516072,343584,12522,52737,107229
Jundiá (AL),2021,54787,969,53819,16922,1856,9536,25504
Junqueiro (AL),2021,550024,13875,536149,288219,17665,96487,133779
Lagoa da Canoa (AL),2021,273016,6196,266820,112651,11101,46111,96957
Limoeiro de Anadia (AL),2021,685127,24475,660653,395914,27993,87298,149448
Maceió (AL),2021,27484016,4305013,23179003,315687,4406278,14292530,4164508
Major Isidoro (AL),2021,283425,9510,273915,89985,7548,69120,107262
Maragogi (AL),2021,1118831,49706,1069125,473860,32767,390607,171891
Maravilha (AL),2021,90740,3242,87498,21331,2145,21243,42779
Marechal Deodoro (AL),2021,3409483,874514,2534969,175567,1291988,748223,319191
Maribondo (AL),2021,187982,9175,178807,41596,5812,66022,65377
Mar Vermelho (AL),2021,50940,933,50007,19002,1883,8485,20638
Mata Grande (AL),2021,354594,6102,348492,168503,6865,55156,117968
Matriz de Camaragibe (AL),2021,385866,27560,358306,96664,50269,87679,123693
Messias (AL),2021,221090,13287,207802,33324,31434,49948,93096
Minador do Negrão (AL),2021,74500,1439,73061,27574,1470,13082,30935
Monteirópolis (AL),2021,80981,3682,77299,9290,7027,17389,43593
Murici (AL),2021,588108,17017,571090,322183,24880,93194,130833
Novo Lino (AL),2021,187226,2804,184422,86524,4026,26972,66900
Olho d'Água das Flores (AL),2021,271775,23032,248743,31083,13745,108819,95096
Olho d'Água do Casado (AL),2021,92933,3154,89779,13990,2226,20619,52944
Olho d'Água Grande (AL),2021,69586,849,68737,23158,1415,10630,33534
Olivença (AL),2021,108843,3968,104875,14786,2984,24145,62960
Ouro Branco (AL),2021,110449,3777,106672,16634,2976,28356,58706
Palestina (AL),2021,45911,811,45099,3894,1303,8817,31086
Palmeira dos Índios (AL),2021,1181478,85230,1096248,175561,92901,486034,341752
Pão de Açúcar (AL),2021,266596,10889,255707,62425,14069,59223,119989
Pariconha (AL),2021,144982,3280,141702,64248,4383,21163,51909
Paripueira (AL),2021,236804,9160,227644,38763,52914,70524,65442
Passo de Camaragibe (AL),2021,337319,7105,330213,191019,7243,46524,85427
Paulo Jacinto (AL),2021,109870,2378,107492,42865,3041,18687,42898
Penedo (AL),2021,983851,47573,936278,250959,46160,351093,288065
Piaçabuçu (AL),2021,458381,10469,447913,292795,9676,60614,84827
Pilar (AL),2021,676106,50743,625363,91067,109974,190137,234185
Pindoba (AL),2021,59434,529,58904,31857,863,6045,20138
Piranhas (AL),2021,344018,15382,328635,102527,15598,86908,123602
Poço das Trincheiras (AL),2021,125601,3639,121962,29366,2795,22007,67793
Porto Calvo (AL),2021,412849,21568,391281,112750,35411,112350,130770
Porto de Pedras (AL),2021,333198,7836,325361,191257,16262,61841,56001
Porto Real do Colégio (AL),2021,268867,9189,259677,104715,5428,51615,97919
Quebrangulo (AL),2021,189051,4307,184744,89767,6363,26747,61868
Rio Largo (AL),2021,1422909,219126,1203783,48210,216168,560468,378937
Roteiro (AL),2021,204122,2665,201458,125267,3456,26399,46335
Santa Luzia do Norte (AL),2021,277385,56878,220506,31699,99694,47508,41605
Santana do Ipanema (AL),2021,646282,60354,585928,52194,30895,316140,186699
Santana do Mundaú (AL),2021,1408563,5269,1403294,1233702,19351,90188,60053
São Brás (AL),2021,129322,3552,125770,67912,6041,13381,38436
São José da Laje (AL),2021,587965,67022,520943,150069,157026,102048,111800
São José da Tapera (AL),2021,332789,11797,320992,63805,15079,84897,157211
São Luís do Quitunde (AL),2021,943656,78137,865519,357182,183402,152238,172697
São Miguel dos Campos (AL),2021,1372933,134427,1238506,108232,404310,404632,321333
São Miguel dos Milagres (AL),2021,243468,8606,234862,93928,5286,84617,51030
São Sebastião (AL),2021,858796,19532,839264,473848,19578,167529,178309
Satuba (AL),2021,260967,24398,236569,7726,51279,99891,77673
Senador Rui Palmeira (AL),2021,121169,3246,117923,19883,2284,24058,71699
Tanque d'Arca (AL),2021,92156,1354,90802,40363,1518,12561,36360
Taquarana (AL),2021,510804,11221,499583,306689,18552,75888,98455
Teotônio Vilela (AL),2021,1357674,30316,1327358,837936,42454,194401,252568
Traipu (AL),2021,296950,5094,291856,118729,8738,35850,128539
União dos Palmares (AL),2021,1416031,82838,1333193,531106,111842,339956,350289
Viçosa (AL),2021,594121,14229,579892,286082,22606,123157,148046
Amparo do São Francisco (SE),2021,37967,2009,35958,1992,3577,6625,23764
Aquidabã (SE),2021,287874,15835,272039,49086,14565,81228,127160
Aracaju (SE),2021,18405678,2356643,16049035,3330,1850431,10683342,3511933
Arauá (SE),2021,140122,8028,132094,34310,7663,27265,62857
Areia Branca (SE),2021,252263,17583,234680,46114,15837,64573,108155
Barra dos Coqueiros (SE),2021,2581592,396770,2184822,3614,1756682,214610,209915
Boquim (SE),2021,333080,29112,303968,27215,12256,115891,148606
Brejo Grande (SE),2021,95886,4212,91674,12858,4143,19534,55139
Campo do Brito (SE),2021,237677,17459,220218,19000,26049,72771,102398
Canhoba (SE),2021,84436,4931,79506,33968,3699,12785,29053
Canindé de São Francisco (SE),2021,2895222,30508,2864714,34943,2467498,141235,221039
Capela (SE),2021,385290,22260,363031,32283,22999,111317,196432
Carira (SE),2021,379818,33420,346398,84247,21782,116571,123797
Carmópolis (SE),2021,422601,33316,389285,4199,154365,96535,134186
Cedro de São João (SE),2021,64293,2641,61652,3607,3497,17625,36923
Cristinápolis (SE),2021,250777,18155,232622,44665,17364,59967,110626
Cumbe (SE),2021,69489,4537,64952,24406,2709,12042,25796
Divina Pastora (SE),2021,188619,4637,183982,7550,95509,34655,46269
Estância (SE),2021,2126563,444368,1682196,89366,563576,627176,402077
Feira Nova (SE),2021,114918,9312,105606,39620,6456,21479,38051
Frei Paulo (SE),2021,324741,42721,282020,55389,34682,103160,88789
Gararu (SE),2021,179511,12696,166814,63394,7498,29562,66360
General Maynard (SE),2021,43532,1077,42455,1114,3031,8898,29412
Graccho Cardoso (SE),2021,100982,6695,94288,32562,4764,19378,37583
Ilha das Flores (SE),2021,101815,6015,95800,12704,4750,25022,53324
Indiaroba (SE),2021,229670,12286,217384,53350,6230,45337,112467
Itabaiana (SE),2021,2213275,292316,1920959,155788,145955,1102529,516687
Itabaianinha (SE),2021,535797,38728,497069,63945,42410,164291,226423
Itabi (SE),2021,81127,5757,75370,20040,5229,17566,32535
Itaporanga d'Ajuda (SE),2021,880245,160305,719940,55423,236186,216836,211495
Japaratuba (SE),2021,527939,19427,508512,49754,225585,106763,126410
Japoatã (SE),2021,210654,12166,198488,58778,7709,50237,81764
Lagarto (SE),2021,1798319,210933,1587387,121049,220279,685405,560654
Laranjeiras (SE),2021,1162007,209488,952519,28986,504887,235606,183039
Macambira (SE),2021,89535,5492,84042,15541,4618,21543,42341
Malhada dos Bois (SE),2021,52760,3175,49585,2511,3123,17203,26747
Malhador (SE),2021,173218,7872,165346,52674,7073,35632,69967
Maruim (SE),2021,448414,68429,379985,13913,143181,105122,117768
Moita Bonita (SE),2021,206468,12627,193842,82672,7106,41986,62078
Monte Alegre de Sergipe (SE),2021,218953,16164,202788,43273,9868,59210,90437
Muribeca (SE),2021,96660,4583,92077,8572,8427,26291,48787
Neópolis (SE),2021,330966,32743,298222,79831,21603,90978,105810
Nossa Senhora Aparecida (SE),2021,109900,7325,102576,19379,7066,27789,48343
Nossa Senhora da Glória (SE),2021,790790,86031,704759,108597,55910,332586,207665
Nossa Senhora das Dores (SE),2021,415736,38489,377247,48540,46066,131065,151576
Nossa Senhora de Lourdes (SE),2021,91165,5652,85513,20674,3711,22405,38723
Nossa Senhora do Socorro (SE),2021,3232698,496635,2736062,7125,479814,1275837,973287
Pacatuba (SE),2021,236643,20776,215867,36245,48574,36308,94740
Pedra Mole (SE),2021,48012,2214,45798,12029,1761,8043,23965
Pedrinhas (SE),2021,98936,4507,94429,7916,3739,24788,57986
Pinhão (SE),2021,91574,8964,82610,12149,3384,26499,40578
Pirambu (SE),2021,137922,5336,132586,6634,23783,33839,68330
Poço Redondo (SE),2021,416245,29841,386404,80398,30518,86778,188709
Poço Verde (SE),2021,322302,33359,288942,23494,21581,113636,130231
Porto da Folha (SE),2021,366553,25662,340891,75586,26618,79353,159335
Propriá (SE),2021,554299,64034,490265,14385,50626,260485,164769
Riachão do Dantas (SE),2021,328904,16425,312479,136588,9951,50192,115748
Riachuelo (SE),2021,222401,34997,187404,10915,56917,53430,66143
Ribeirópolis (SE),2021,339443,47651,291792,42545,25689,116868,106690
Rosário do Catete (SE),2021,468956,58444,410512,5410,231059,85912,88131
Salgado (SE),2021,217519,13588,203931,25868,11063,57026,109974
Santa Luzia do Itanhy (SE),2021,192690,8804,183886,50669,5242,33914,94060
Santana do São Francisco (SE),2021,106773,5298,101474,26727,3969,21267,49510
Santa Rosa de Lima (SE),2021,55084,1871,53213,7258,2375,9736,33844
Santo Amaro das Brotas (SE),2021,167665,6907,160758,15892,33048,36708,75111
São Cristóvão (SE),2021,1031740,81070,950670,36460,100436,368420,445355
São Domingos (SE),2021,135227,12985,122242,6686,16920,31564,67072
São Francisco (SE),2021,56034,2280,53754,8036,3964,10707,31046
São Miguel do Aleixo (SE),2021,49842,2775,47068,6434,2883,9728,28023
Simão Dias (SE),2021,790408,96789,693619,138553,84958,254380,215728
Siriri (SE),2021,176736,6173,170563,10452,62203,35435,62473
Telha (SE),2021,44121,1475,42646,5304,2070,8368,26903
Tobias Barreto (SE),2021,655791,61889,593902,23069,35138,269800,265895
Tomar do Geru (SE),2021,146965,6706,140259,24942,5989,30941,78388
Umbaúba (SE),2021,401569,34118,367451,35939,21836,164849,144826
Abaíra (BA),2021,70195,3242,66953,5645,2522,22006,36781
Abaré (BA),2021,208558,17074,191483,25260,11225,67174,87825
Acajutiba (BA),2021,144529,5358,139171,24599,7423,43464,63685
Adustina (BA),2021,240690,7229,233461,108043,9542,45333,70543
Água Fria (BA),2021,158468,7502,150966,34769,12035,31727,72436
Érico Cardoso (BA),2021,78063,2797,75266,7236,6070,20590,41370
Aiquara (BA),2021,53718,1379,52339,14799,2518,10400,24623
Alagoinhas (BA),2021,4532743,801849,3730895,123134,1169108,1814418,624234
Alcobaça (BA),2021,347478,23226,324251,81419,32825,102676,107331
Almadina (BA),2021,62876,1650,61226,18644,2957,13082,26543
Amargosa (BA),2021,463881,44037,419843,34306,47646,198227,139664
Amélia Rodrigues (BA),2021,437584,56940,380644,55707,74424,145413,105100
América Dourada (BA),2021,167946,8989,158957,46345,11191,36728,64694
Anagé (BA),2021,224877,14961,209916,23058,13263,80204,93391
Andaraí (BA),2021,134558,8448,126110,14312,6128,45003,60667
Andorinha (BA),2021,223452,8223,215228,11774,74251,59670,69533
Angical (BA),2021,190448,6403,184044,62431,8034,48406,65174
Anguera (BA),2021,78758,3946,74812,5371,4112,21302,44027
Antas (BA),2021,160798,8724,152074,24703,11865,45710,69797
Antônio Cardoso (BA),2021,124218,12209,112009,8762,4779,44253,54215
Antônio Gonçalves (BA),2021,82702,3813,78889,7883,4956,22015,44035
Aporá (BA),2021,148644,5310,143335,23760,7757,35730,76088
Apuarema (BA),2021,74300,2519,71781,14504,3884,17796,35597
Aracatu (BA),2021,145739,7891,137849,38649,7205,39075,52920
Araçás (BA),2021,299165,10107,289058,14917,154030,65268,54844
Araci (BA),2021,491399,25233,466166,73554,28779,152213,211620
Aramari (BA),2021,103771,5853,97918,10473,15508,24701,47236
Arataca (BA),2021,101501,3650,97851,27252,4843,21461,44294
Aratuípe (BA),2021,79976,3029,76947,16394,3281,18961,38312
Aurelino Leal (BA),2021,137001,5201,131800,33457,8180,30020,60142
Baianópolis (BA),2021,263823,7259,256563,134628,9484,52305,60147
Baixa Grande (BA),2021,194657,9915,184742,25110,13842,60139,85651
Banzaê (BA),2021,113597,4771,108826,19156,4818,27563,57290
Barra (BA),2021,430649,19772,410877,47664,15815,138812,208587
Barra da Estiva (BA),2021,377673,22839,354834,121031,14572,138567,80664
Barra do Choça (BA),2021,573526,28277,545249,238098,42817,134443,129891
Barra do Mendes (BA),2021,115910,5290,110620,9808,7458,42742,50613
Barra do Rocha (BA),2021,77901,2249,75652,26265,3872,15312,30204
Barreiras (BA),2021,7006121,709235,6296886,2001022,949590,2696644,649630
Barro Alto (BA),2021,112884,5611,107273,13868,5970,29942,57494
Barrocas (BA),2021,346146,9588,336558,12591,190825,72706,60436
Barro Preto (BA),2021,79914,2338,77576,24719,2956,17193,32708
Belmonte (BA),2021,373714,20244,353470,96216,31719,114402,111133
Belo Campo (BA),2021,169601,10966,158636,13580,7265,63343,74447
Biritinga (BA),2021,145438,12011,133427,12649,13459,32645,74674
Boa Nova (BA),2021,111607,4490,107117,16820,5516,28675,56106
Boa Vista do Tupim (BA),2021,155317,6484,148833,31164,8264,36248,73157
Bom Jesus da Lapa (BA),2021,1357879,112352,1245527,279808,216765,455803,293151
Bom Jesus da Serra (BA),2021,69959,2587,67373,6786,3060,17067,40460
Boninal (BA),2021,117992,6840,111153,9858,5373,35920,60002
Bonito (BA),2021,270741,12426,258316,97279,26004,60539,74494
Boquira (BA),2021,189091,7622,181469,18241,12997,57788,92444
Botuporã (BA),2021,110038,5265,104773,14471,5139,38726,46437
Brejões (BA),2021,144331,10816,133515,15782,7235,47369,63129
Brejolândia (BA),2021,126261,5123,121138,50410,3665,26528,40535
Brotas de Macaúbas (BA),2021,96549,5445,91104,9703,6553,28175,46673
Brumado (BA),2021,1783351,154148,1629203,47627,749929,588110,243536
Buerarema (BA),2021,208933,21423,187510,24318,8726,86036,68430
Buritirama (BA),2021,154989,7018,147971,20110,4743,38437,84681
Caatiba (BA),2021,77401,2339,75062,24243,3179,16354,31286
Cabaceiras do Paraguaçu (BA),2021,141199,5502,135697,21840,8965,32502,72391
Cachoeira (BA),2021,479279,43510,435769,36277,90790,178225,130477
Caculé (BA),2021,364286,59044,305242,16385,33355,167056,88445
Caém (BA),2021,92294,3458,88836,22664,5406,21022,39744
Caetanos (BA),2021,102571,4187,98384,10906,6441,25314,55723
Caetité (BA),2021,1098650,75995,1022655,29232,439607,342285,211531
Cafarnaum (BA),2021,217397,16514,200882,32111,23366,62427,82978
Cairu (BA),2021,1505542,27091,1478451,19581,920485,434914,103470
Caldeirão Grande (BA),2021,101982,4582,97400,8699,4996,27271,56435
Camacan (BA),2021,354422,24845,329578,33139,20585,140413,135440
Camaçari (BA),2021,33971705,7982958,25988747,20677,15715317,8861821,1390933
Camamu (BA),2021,468403,40945,427459,100894,22253,155311,149000
Campo Alegre de Lourdes (BA),2021,295491,20394,275096,40523,23075,95765,115733
Campo Formoso (BA),2021,2072637,123417,1949221,96326,1245375,328853,278667
Canápolis (BA),2021,84960,3115,81845,15403,4710,19850,41883
Canarana (BA),2021,258822,14952,243870,50097,17597,72822,103354
Canavieiras (BA),2021,395602,19938,375663,100671,21397,123601,129994
Candeal (BA),2021,67793,1833,65960,12422,3296,15241,35002
Candeias (BA),2021,6819267,1279489,5539778,16367,2661708,2409106,452598
Candiba (BA),2021,140828,7751,133077,27594,7948,44302,53232
Cândido Sales (BA),2021,244706,18411,226296,12898,12992,91157,109249
Cansanção (BA),2021,352801,19497,333304,39827,17544,110090,165843
Canudos (BA),2021,153151,9729,143422,28621,8090,43325,63386
Capela do Alto Alegre (BA),2021,129534,7646,121888,25762,16499,32579,47046
Capim Grosso (BA),2021,579808,87470,492337,16117,33713,326021,116487
Caraíbas (BA),2021,86202,5425,80776,13655,5083,24341,37698
Caravelas (BA),2021,357882,19728,338153,136235,16928,85211,99780
Cardeal da Silva (BA),2021,117727,6063,111664,8003,36884,29861,36915
Carinhanha (BA),2021,288562,15113,273449,64417,10751,86483,111798
Casa Nova (BA),2021,875278,69206,806072,163856,127332,230515,284368
Castro Alves (BA),2021,317241,25811,291430,22553,49014,109502,110361
Catolândia (BA),2021,80901,11808,69093,8855,3392,38274,18572
Catu (BA),2021,695391,73449,621941,9815,117759,288050,206318
Caturama (BA),2021,78262,3034,75228,12918,5774,17874,38663
Central (BA),2021,154525,11485,143040,8112,8402,54234,72292
Chorrochó (BA),2021,105494,3938,101556,9997,10165,26411,54984
Cícero Dantas (BA),2021,400073,27092,372982,55826,19248,154279,143630
Cipó (BA),2021,155394,10285,145109,6205,8157,59516,71231
Coaraci (BA),2021,191076,9546,181531,23125,9683,71743,76979
Cocos (BA),2021,559871,35320,524551,311827,37123,96178,79423
Conceição da Feira (BA),2021,376055,39773,336281,47156,93786,101054,94285
Conceição do Almeida (BA),2021,200262,16456,183806,21608,23928,70987,67283
Conceição do Coité (BA),2021,884633,84696,799936,40437,133769,377641,248090
Conceição do Jacuípe (BA),2021,2761128,877339,1883789,56438,1156942,523947,146462
Conde (BA),2021,288929,17267,271661,42387,31235,79484,118555
Condeúba (BA),2021,171066,9709,161358,14368,11046,63058,72886
Contendas do Sincorá (BA),2021,50778,2336,48442,12709,2641,13156,19937
Coração de Maria (BA),2021,226366,15561,210804,23199,22508,67782,97316
Cordeiros (BA),2021,70770,3329,67441,6469,5269,19946,35757
Coribe (BA),2021,169096,9915,159181,57131,6565,43287,52198
Coronel João Sá (BA),2021,175256,7331,167925,32173,7368,44051,84332
Correntina (BA),2021,3280079,226438,3053641,1923038,190683,745903,194016
Cotegipe (BA),2021,171353,5994,165359,61113,7464,33860,62922
Cravolândia (BA),2021,45909,2107,43802,5428,2813,11537,24025
Crisópolis (BA),2021,206124,10443,195681,35018,8742,58850,93071
Cristópolis (BA),2021,157843,11804,146039,27208,6150,51699,60982
Cruz das Almas (BA),2021,1042406,125244,917162,17568,105876,548586,245131
Curaçá (BA),2021,355221,30793,324428,61802,22136,98558,141931
Dário Meira (BA),2021,126141,4054,122087,26546,5044,29328,61169
Dias d'Ávila (BA),2021,3050432,399431,2651001,3958,1646804,677696,322543
Dom Basílio (BA),2021,142303,10668,131636,29118,6249,44427,51842
Dom Macedo Costa (BA),2021,43212,1654,41558,6907,2842,13604,18206
Elísio Medrado (BA),2021,76733,3253,73480,15042,4051,19544,34843
Encruzilhada (BA),2021,256185,16366,239819,70026,10511,74704,84578
Entre Rios (BA),2021,681650,46213,635437,91709,143774,226360,173593
Esplanada (BA),2021,731909,45014,686895,93211,210587,214011,169086
